,tweet,sentiment
2362,مصانع شركة النصر للحاصلات تباع بتراب الفلوس لتسديد الديون بعد توقف الانتاج طبعا ساويرس وبقية اللصوص يشتروها من فساد لفساد,negative
2363,ميثاق الشرف الاعلامى الذى اتخذوه ذريعة لاغلاق الفراعين برئ من الانقلاب قتلوا الميثاق ويستشهدوا به,negative
2366,لما الناس تهاجمك عشان ظلمك وكذبك تقوم تطلع لهم فيديوهات لناس كانت بتشكر فيك افتكر إن المنحرفة بدل ما تتوب بتقعد تفتكر شرفها اللي ضيعته,negative
2372,"سحر النوم والراحة مع #مصطفى_حسني ،، جميلة =)""	POS",
2377,33 المسلمين عظماء بالفكر النبيل المتحضر مش بالقتل يا ابى جهل,neutral
2380,ادين مثل باقي المصريين جميعا الاعتداء الهمجي علي الاستاذ خالد داوود بواسطه انصار الاخوان الارهابيين الثوره ستنتصر علي الارهاب,negative
2381,"جوله واحده في أرجاء المستشفي تجعلك تقول ""الحمد لله""	OBJ",
2382,العبيد فى اعلام العار لم ينطق بعد تصريح ايهاب رمزى ان الاقباط سيقاطعون انتخابات البرلمان ويصوتون لا للدستور اذا,negative
2385,بعض #الأشكال_الوسخة ف #المرج لما تشوفها تحس انها هربت م الرشاح قبل ما يتردم!,negative
2389,السماح لرموز الحزب الوطنى المنحل بالظهور للإعلام محاولة لخلق حالة تدلس على الرأى العام بان هناك رأى ورأى آخر عص,negative
2391,"تأجيل محاكمة 77 من رافضي الانقلاب فى ""أحداث رمسيس "" إلى 5 مايو #مرسي #مصر	OBJ",
2393,"بالفيديو عضو بحملته الانتخابية: #السيسي لا يقابلنا لأنه ""مرشح غير عادي"" ويعشق لقب #المشير ولا يزال متمسكا به	POS",
2395,"انتظروني اليوم مع الإعلامي محمود سعد في برنامج ""آخر النهار"" الساعة 9:30 مساءً على قناة النهار الفضائية تردد ١١٤٨٨	OBJ",
2402,الذي لم يلاحظ حتى الان ان مطالب الثورة لم تتحقق اما انه لا يتابع ما يحدث وأما ان رائحة السلطة قد افقدته الرؤية وصفقاته قد أخرسته عن قول الحق,negative
2403,مفروض شباب الإخوان ينزلوا بكرة يطالبوا بإقالة النائب العام الفاسد اللي ضيع حق الشهداء وأفرج عن المتهمين,negative
2405,قوانين أي مرحلة إنتخابية أهم مليون مرة من المرحلة نفسها بمرشحينها وكل المراحل اللي بعد الثورة إتلعب في أساس قوانينها لتدبير النتيجة #باطل,negative
2413,رجل أكرمه الله بمصاهرة أكرم خلقه مرتين زهد في أمواله وتجارته طمعاً في مرضاة الله كانت الملائكة تستحي منه #عثمان_بن_عفان,positive
2417,#الداخلية_بلطجية #تعذيب المهندسة داليا رضوان تم الاعتداء عليها بالضرب الخميس الماضي في أحد الكمائن بالعجمي وتم,negative
2422,"لم نقل إن ما حدث في مصر كان ""انقلابًا""	OBJ",
2424,المحنة المصرية مقال اليوم لمن يسألون دائما عن الحل مع أنه موجود من زمان وقدمه مفكر كبير لمبارك من قبل فسخر منه,neutral
2426,ما تفعله قناة الجزيرة هو إعلان حرب على مصر و لا يمكن السكوت عليه !,negative
2427,#اليوم_العالمي_للغة_العربية يفترض لها كل يوم وكل ساعة؟ لغة القرآن الذي نتلوه يوميا لغة التعليم المدرسي لغة العبادات لغة امة الخير,positive
2428,مشاهد مؤلمة لاستمرار الجيش المصري في تفجير منازل اهالي رفح شمال #سيناء #حسبنا الله ونعم الوكيل,negative
2430,سيذكر التاريخ أن الرئيس #محمد_مرسي قاد ودعم #رواد_المساجد وأن #العرص قاد ودعم #رواد_الديسكو و #الخنازير_خائنين,neutral
2431,"#يوسف_الحسيني القبض على الفلوطة "" صبحي صالح "" في الأسكندرية #السادة_المحترمون …	OBJ",
2432,اسمعو هالاغنيه روعه #غلطت_م_الأول_رنا_سماحه  9  # #اللي_أهم_من_شكلك,positive
2434,جيد أن تتنوع الآراء حول السياسة وقضاياها وضروري أن يتم التعبير عن هذا التنوع في الإعلام التقليدي وشب,positive
2436,"و في النهاية ذهب النشطاء والاشتراكيين والعلمانيين و الكفرة الي غزةوظل الاخوان يهتفون في الازهر ""رايحين شهداء بالملايين""	NEUTRAL",
2440,الشعب مش لاقي ياكل والاسعار نار والشغل واقف والانقلاب يبنى نصب تذكارى فى رابعة بعشرين مليون مش حاسين بالناس,negative
2442,ومازالت الحفله مستمره بعنوان #باسم_طلع_حرامى,negative
2444,#انشر للفائده عشبه الجنسينج من اكثر الاعشاب فائده في تقويه الذاكره وزياده الاستيعاب والحفظ والتركيز يفضل استخدامها للطلاب ك…,positive
2445,عادة لا اعلن عن مواقفي السياسيةلكن كله الا الدستور في كلمة واحدة:مهزلةو لو وصلنا لمهزلة الاستفتاء حقول لا,negative
2446,عبدالرحمن محمد الصوت الفخم! #غناء #أغاني #طرب #فن #عرب,positive
2447,كل يوم بيزيد إحترامى وتقديرى لبرشلونة نكسوا اﻷعلام عشان مدرب سابق مات إحنا طلع ميتين أبونا عشان يلغوا سوبر العار وبرضه متلغاش #إفتكروهم #74,neutral
2448,لما أشدت بدور شباب الإخوان في الميدان وأعلنت أني سأنتخب مرسي كنت كاتب حر وطني منصف بمجرد ماأعترض على رئيسهم وقادتهم يبقى فيا العبرإخ وان,neutral
2449,احسن ميلف فى مصر #فيفي_عبده_الام_المثالية,positive
2454,الرئيس وجماعته يدفعون بمصر إلى مرحلة ظلامية بامتياز، قرار ديكتاتوري بالاستفتاء على دستور باطل يقسم المجتمع ثم حصار للسلطة القضائية لتعويقها,negative
2456,اتمنى ان نتوحد جميعا لتحقيق اهداف الثورة المشكلة إقصاء المعترضين على فكر الاسلام السياسي أنا مسلم يساري هل يعترف مشايخ السلفية بإسلامي,neutral
2459,ما مشروعية الثورة وما الموقف من أولي الأمر بين الطاعة لهم والخروج عليهم وما أساس الخلاف بين فقهاء الثورة وفقهاء السلطة؟,neutral
2461,فيلم الجزيرة #الصندوق_الأسود لأحداث #الإتحادية فضح الكثير انتظروا فيلم #المندس اللي هيفضح حاجات كمان وكمان #انتخبوا_العرص,negative
2462,"ايه اببعد كان في بعدي "" وصال "" دامها كل الخيارات بيدي؛ خلني بين الحقيقة والخيال؛ علم مدري "" حلم "" عيا ينتهي #لازم ابعد	OBJ",
2467,عزيزي السلفي الراغب في قتل نفسك من أجل منع رحلات الطيران القادمة من إيران، بالنسبة لرحلات الطيران الإسرائيلي القادمة إلينا كل يوم، إيه؟,neutral
2468,#وائل_جمعة صخرة الدفاع المصرية,positive
2470,لأن مجلس الشعب منتخب على عوار وتشكيل التأسيسية أيضاً بسيطة وواضحة,negative
2473,حفظك الله يا خادم البيتين، وأدامك ذخرا للإسلام والمسلمين #ذكرى #البيعة #التاسعة,positive
2477,"هم خلاص بقوا المتحدث الرسمي للتنظيم؟ ""_: #الشروق | واشنطن تحذر من هجمات للقاعدة بالشرق الأوسط في أغسطس ""	OBJ",
2478,وجعتكو التويتة اللي فاتت يا إخوان معلهش تيجي فين دي جنب وجع أمهات الجندي وجيكا وكل اللي إتقتلوا في عهدكم وتحت ظل كذب رئيسكم مخلف الوعود,negative
2485,2050 الخرطوش انا شايفه بعيني في تقارير مصورة لن تقنع عيني أن ما رأيته كان فوتوشوب مهما عملت دي هي الحقيقة اقعد اعند فيها عشان كرسي,neutral
2488,ما كل هذه الأعداد! انا مبهور عجلة ورا يا مرسي وإلا هندخل في مرحلة وا كرساه,neutral
2489,باااااااااااااااااطل ياولاد التيت :/ من مسيرة #المطرية #أنا_حازم #مرسي_رئيسي #ياخاين_ياسيسي #حتماً_سنعود,neutral
2495,حوار الطرشان,negative
2497,#عبد_الرحيم_علي: اسألوا #البرادعي عما فعله في #العراق #البرادعى_طلع_جاسوس #باسم_طلع_حرامي #تخابر #خونة,negative
2498,#قطر ترفض تسليم 28 شخصا من قيادات #الإخوان المسلمين ما أجملها من تُهمة وما أعظمه من موقف #شكرا…,positive
2501,"كعضو عامل في جمعية ""المؤذنين في مالطة"" أحب أقول:	OBJ",
2505,التاريخ حافل برؤساء استقالوا وانتهت حياتهم السياسية تماما بسبب واقعة فساد واحدة وفي مصر يدفعون بمرشح ضده 35 واقعة فساد لم يحقق فيها احد,neutral
2508,"في جلسة التحقيق : سلطان لقاضي التحقيق ""أقرر أنني أتهم السيد ا?ستاذ المحقق أحمد حنفي رياض وا?ستاذ أسامة مرزوق	OBJ",
2510,#الصهاينة يتابكون اليوم لذكرى #الهولوكوست وتناسوا بانهم ابطال الهولوكوست الفلسطيني والداعمين للهولوكوست السوري عن طريق خادمهم #بشار_الاسد,negative
2514,_ يسعدني أن المرة الوحيدة التي سأظهره فيها في رمضان ستكون مع الأستاذ,positive
2518,#اعرفوهم #انقلاب_مصر #يسقط_حكم_العسكر #الداخلية_بلطجية #الحرية لنور الدين محمود 15سنة #الدقهلية طالب بالثانوي الأزهري,negative
2519,أحيي الذين سيخرجون اليوم معلنين رفض الانقلاب ، فسكوت الشعب استقرار لحكم العسكر الباطل #مصر,neutral
2522,"سي إن إن :"" جيب بوش مقابل هيلاري كلينتون في مواجهة على الرئاسة"" عايلة بوش و كلينتون صايرين كأنهم آل سعود والرشيد :)) #ديموقراطية	OBJ",
2523,"#الشروق | إصابة مجند أمن مركزي بالـ""خرطوش"" في اشتباكات مدينة الانتاج الإعلامي بين مؤيدي مرسي وقوات الأمن	OBJ",
2524,قصة العجوز الحكيم و محرك السفينة رااائعة,positive
2529,انا حاسس ان التناكه شويه تانى هتوصل بالناس هنا وتقولك راعى فرق الفولورز اللى بينى وبينك لو سمحت !!,negative
2530,"إذا تتوقع فوز الاهلي على الاتحاد اليوم في ذهاب نصف نهائي كأس الملك "" ريتويت"" #الاهلي_الاتحاد #ديربي_جدة …	OBJ",
2532,اعتراف أنتسب لحمله #حازمون وفضلت أهاجم #مرسى_رئيسى بفكر حزب_الزور وانتقد #الإخوان فى كل الأمور أعتذر لك سيدى الرئيس ف #الشعب_يرد_تحية_الرئيس,neutral
2535,نصائح مهمة ورائعة لقروبات الواتس اب انشروها #رتويت #واتساب #السعودية #الكويت #قطر #درر,positive
2536,"#إبراهيم_محلب:استياء المواطنين من "" #حلاوة_روح"" دفعني لإيقاف عرضه	OBJ",
2537,2002 فيلم جامد جدي فعلاً,positive
2541,"الأسواني لم ينتخب مرسي وطالب بمقاطعة الانتخابات بتاريخ 4 يونيو في مقاله: ""قبل أن تدلي بصوتك في الاعادة""	OBJ",
2543,الرئيس #محمد_نجيب يصف الضباط الأحرار بالخونة ويندم على انه اطلق عليهم اسم احرار بعد اكتشاف خيانتهم #انتخبوا_العرص,negative
2548,"قال الرئيس المتصهين #محمود_عباس إن ما حدث لـ #اليهود في ""#الهولوكوست"" هو أبشع جريمة عرفتها البشرية في العصر الحديث #أخبار #ف…	NEG",
2552,"دمحمد الجوادي يشيد بإنجازات مبارك في كتابه ""النخبة المصرية الحاكمة"" #مصر #قطر #الإمارات #السعودية #البحرين #لبنان	POS",
2556,#سؤال_برئ لبتوع #تويتر :: ايه الفرق بينك وبين الفيسبوك دلوقتي يابن المره #بروفايل_عره,negative
2558,الحمد لله ان حقن دماء المصريين وأصلح بينهم وعقبال القوى السياسية 3,positive
2562,تحية لبعثة مصر البارالمبية التى حققت انجازا غير مسبوق وقدمت لنا درسا فى تحدى المصاعب لرفع اسم مصر عاليا شكرا لكم وحمدا لله على سلامة عودتكم,positive
2564,"قال الرسول صلى الله عليه وسلم "" إن من موجبات المغفره بذل السلام ، وحسن الكلام "" #سنن_منسيه	OBJ",
2566,عبر20عاما من عملى الاعلامى هاجمت الاعلام القذر وتعرضت لحرب شرسة الكل تأكد مما قلته من 20عاما,negative
2567,#ذات_مومنت لما تقدم عرض عمل جديد متحمسله عمرك ما إشتغلته لزبون واليوم موعد إجتماعه مع مقره في اليابان وشعورك أنا شن درت إن شاء الله يرفضوا!,neutral
2569,يسعدنى ان تشاركنا برايك في الخطوط العريضة للبرنامج,positive
2573,_ !!!! اريد ان اشخر لكن اخشي عليكم من الضجيج #الكورة_للجماهير #رجعوا_الجماهير يا ولاد ال…,neutral
2574,"#الشروق: ""لاريجاني"": تحقيق اتفاق نووي شامل يتطلب العقلانية من الغرب: قال رئيس البرلمان الإيراني علي لاريجاني،	OBJ",
2575,ما اجمل ان استيقظ على صوت دعبدالمنعم أبو الفتوح في اول محادثة بيني وبينه وهو يقول لي محدش يقدر يجي جنبك ده انتي زي بنتي #,positive
2578,#ماهر زين ناااس تشبهلنا : ^_^,positive
2580,المحرقة أبشع جريمة بالتاريخ الحديث,negative
2583,كنت أفضل أن يأتى مجلس رئاسي مدنى من جهات قضائية ولكن تم الاستفتاء ولن نعود مرة اخرى للنقطة صفر ويجب أن تتم الانتخابات وتسلم السلطة,neutral
2586,#الببلاوي : #السيسي هينهي #حكم_العسكر و #مبارك راجل وطني !!! و انا احب اقولك انك #ابن_وسخة,neutral
2591,"دعمرو حمزاوي اليوم الساعة 830 مساءً علي قناة برنامج "" مصر تنتخب ""	OBJ",
2593,"الليلة السابعة مساءً ندوة توقيع رواية ""نادي السيارات"" بمكتبة ديوان بمصر الجديدة التفاصيل والعنوان داخل الرابط :	OBJ",
2600,لن أُصدق كتب التاريخ بعد اليوم وقد رأيت الحاضر يُزيف بلا حياء فكيف بتاريخ كتبه مُنتصر ؟ #مجزرة_رابعة,negative
2601,من قام ليلة القدر إيماناً واحتساباً غُفر له ما تقدم من ذنبه قف بين يدى الرحمن وأطل الوقوف وقل يا رب أتيتك بذنوب كثيرة و أنت العفو الكريم,positive
2602,من الأمور الهامة لتنمية #الحب بين الزوجين التفاعل مع أزمات شريك #الحياة فلذلك أثر كبير في بناء المودة بين الزوجين وجعلهما أكثر قربًا ومحبة,positive
2608,جمهورية #شبرا_الخيمة :),positive
2613,اللي ضد تطهير الداخلية هو مرسي وجماعته وماحدش منعهم عن دهوياريت تورينا شطارة نقدك على كذب الرئيس وجماعته وفشلهم الذريع,negative
2615,"بعد قليل يلتقى د عمرو خالد مع الإعلامي خالد صلاح علي قناة النهار الفضائية فى برنامج ""أخر النهار"" للحديث عن عن	OBJ",
2616,أزف الوقت لإنهاء الاستقطاب البائس الذي نعيشه بأسلوب عقلاني، وأن نتحلى بروح التسامح، لنبدأ في البناء بسواعد كل مصري ومصرية,neutral
2619,على الخارجية المصرية تحمل مسئوليتها والعمل على الافراج الفورى عن الصحفية شيماء عادل المحتجزة فى السودان ،كرامة المصريين أهم من رغيف العيش,neutral
2623,بتضحكني فكرة إن إخواني أو سلفي يقولك أنتم أتفه من أن نهتم بكم مع إنه بايت تقريبا طول اليوم على تويتر يبعت منشنات شتيمة وتكفيرمن التافه إذن؟,neutral
2626,#الأم_المثالية … تُخفي دمعتها عن أطفالها حتى لا يدخل الحزن إلى قلوبهم تظهر ابتسامتها لصغارها وإن كان قلبها يعتصر الألم!! قلبها كبير,positive
2630,عنان كان دفاع جوي مع ان دايما رئيس الاركان مشاة او مدفعية الله يرحمك يا ابو غزالة، عبقري المدفعية في القرن العشرين,positive
2634,اجرأ سيدة فى مصر تعليقا على مجزرة رابعة العدوية,positive
2636,كرنڤال دولي بحضور #الملك مبروك لـ #الشباب_بطل_كأس_الملك ولـ #الشعب_السعودي_الشقيق #ملعب_الجوهرة #نحبك_ياملكنا_عبدالله ,positive
2641,سعدت بلقاء أهالى المنصورة و فخور بأعضاء حملتي بالدقهلية الذين اتاحوا لي هذا اللقاء ورتبوا زيارة الكنيسة ولقاء القوى السياسية,positive
2642,في ناس بتموت هنا \●/ #المشرحة,negative
2647,الدول المتقدمة تبنى مستشفيات ومدارس ومصانع واندية ومصر تبنى سجونا بكره تشوفو مصر,neutral
2649,فوز الاهلى مرتين متتاليتين بكأس افريقيا من غير دورى يؤكد أن نقص الامكانات لا يمنع الانجازات بشرط توافر النوايا الطيبة ربنا يحفظ تريكه,positive
2653,#مصر ≡ مصر سلطات الانقلاب توقف وفد حقوقي بمطار القاهرة (Ҩ) #انتخبوا_العرص,negative
2654,ايه الشياكة دي يا واد اكيد اختك مش نازلة النهاردة ايه دة عرفتي ازاي ؟! ما انت لابس بنطلونها هتنزل هي ازاي ! #استرجل,negative
2657,": ﷽ قال تعالى: { إنا أنزلناه قرأناً عربيا لعلكم تعقلون } #اليوم_العالمي_للغة_العربية #اللغة_تنبض_بالحياة #بالعربي""	OBJ",
2658,مراسلنا من #الاسكندرية : #صدقى_صبحى : #القوات_المسلحة ستظل دائما #الدرع_الواقية لهذا #الشعب_العظيم,positive
2660,في كل الدنيا يلتزم المسئولون بتنفيذ تصريحاتهم المشير طنطاوي صرح بان سيوقف إحالة المدنيين الى محاكم عسكرية و كل يوم تتم إحالة مدنيين جدد,neutral
2661,من قال أن دستور الجماعة لا يقسم مصر يجب أن يكشف على نظره فهذا شيء واضح وضوح الشمس,negative
2664,6: #متحرر #متحررين_بصمت #تحرر_متزوجين #تحرش محارم	OBJ,
2665,اعمل تويتة على تغيير بامبرز البت ييجي الرد زي الريتويت اللي فاتتفعلا بياكلوا بيبي ع الصبح,negative
2666,3لا شاي بالياسمين، بل مطالبة بإسقاط الدستور ورفض لأخونة الدولة ولأداء الحكومة الكارثي ودعوة لانتخابات رئاسية مبكرة إن استمر تجاهل غضب الشعب,negative
2670,افضل ﻻعب في العالم رونالدو لم يستطع التسجيل بوجود الصخرة حمد المنتشري! #اسطورة #كانيدا_يحتاج_لحمد_المنتشري,positive
2671,شاب مصري يرد على أكاذيب الإخوان عن إنجازات مرسي الوهمية وكله بالدليل والروابط وحياتك حاجة مشرفة ومحزنة في نفس الوقت,neutral
2675,جريدة الأهرام: محاكمة 6 من رجال الشرطة في حلوان لتعذيب مواطن حتى الموت أسلوب متكرر رسالة لوزير الداخلية: أنت المسئول,negative
2676,لقب برنس الاسبوع يذهب الي محمد يسري سلامة,positive
2681,تخيلو يفاجؤنا المرة هاي ويحكولنا كمان مرة وصلت الى طريق مسدود ها بدي اقلكو مثلا انهم يتصالحوا كش برا وبعيد متجليين والشعب #سيكو_سيكو #فلسطين,neutral
2683,حقيقه فجرها شباب بمساعدة #الاخوان ومات فيها الشباب #والاخوان واستفاد منها #عبيد_البيادة #انصاف_الاخوان,negative
2688,الاعلام الفاسد وفئرانه اميركا تساند الاخوان واليوم وفد من الكونجرس يلتقي سيسي والطرطور وبلاوى مجانين رسمى,negative
2689,ألف رحمة ونور عليك يافنان مصر العظيم ياأعذب الناس وأجملهم وأطيبهم,positive
2692,فجاة حبيت السياسة و مجلس الشعب,positive
2696,"#الوطن تي في | #توفيق_عكاشة: شلبية الفلاحة أحسن من #هيفاء لأنها ""طرية مش ناشفة""	OBJ",
2705,خليك كوبري #عسكر #اخوان لايق عليك # #قانون_التظاهر #قصر_الاتحادية #اسقاط_قانون_التظاهر #6ابريل,neutral
2706,"# طبيب #الأهلى: لن نُغامر بـ""#جدو"" أمام #الدفاع_المغربى |	OBJ",
2707,"الإخوان يمارسون الشحاتة بمنطق ""إنتو كفار وهتروحوا النار بس أبوس إيديكو ساعدونا يا كفار عشان ربنا ينصر الإسلام""	NEG",
2720,خبراء زراعيون: الشون الزراعية سبب إهدار كميات كبيرة من #القمح وسعر الاردب غير مرضي للفلاح # #مصر,negative
2721,ما نحن فيه الان هو كله بفضل الشهداء و مصابي الثوره لذلك لابد من تاسيس هيئه تكون مهمتها تكريم اصحاب الفضل فيما نحن فيه الان,positive
2725,انه دائماً من الرائع أن تكسب الجوائز لأن هذا يعني انك قدمت موسماً جيداً #تشلسي #تشيلسي,positive
2728,أنا حزين ! مرض #نفسي قاتل ربما يردئ بحالك الى #حياة بائسة جدا ف أحذرؤ منها ، #لان الايجابية حتى لو كان الحزن ع قلبك #لابد…,negative
2730,"#برنت يرتفع متجها نحو 110 دولارات للبرميل بسبب التوترات في #أوكرانيا: ""	OBJ",
2731,بغض النظر عن نتيجة الاستفتاء سيظل هذا الدستور غير شرعي لانه خرج من لجنة تأسيسية باطلة تم تحصينها بإعلان دستوري باطل سوف يسقط دستور المرشد,negative
2733,": #اقرأ_في_عدد_الوطن | #حمدين_صباحى: سأفوز بـالرئاسة"" وشعبية ""السيسى"" تتراجع بانتظام بسبب ""الأخطاء"" ""	OBJ",
2745,#تحيا_مصر #مصر_جميلة #مصر_المحروسة #السيسي_هايصالح #السيسي_رئيسي_2014,positive
2746,رفع الشعارات السياسية في الحج حرام شرعاً وخيانة وطنية …,negative
2747,"#الشروق: ""الفرنسية"": مجموعة كوماندوس كردية تخطف جنديين تركيين: خطفت مجموعة كوماندوس كردية عسكريين تركيين مساء	OBJ",
2748,اعلام العار ينكر الشمس وانقلاب العار يطفئ الشمس وشباب مصر الحر سيضيئ الشمس,neutral
2749,السباحة إزاى السياح ييجوا و محافظ الأقصر إرهابي,negative
2751,وزير الداخلية كان عصا في يد الإخوان ولا يصح أن يظل في منصبه #السادة_المحترمون,negative
2753,#احمد_شفيق سيرته بتجيب ارتيكاريا لناس كتير بس محبوب من الأغلبية اجدد الدعوة له للترشح للانتخابات,neutral
2758,شجاعة بنات مصر الثوريات لا تقلق نظام مبارك فقط لكنها تزعج الجبناء فاقدى النخوة الذين يقبلون الذل من اجل السلامة ويرفضون الثورة لكرامتهم,neutral
2766,الاعلامي المحترم يوسف الحسيني يطالب بإعادة فتح التحقيق في حريق مسرح قصر ثقافة بني سويف2005,positive
2767,إلى حد البكاءِ على يديكِ، أحاول أن أغني، و أعرف أنني وطنٌ و منفى، و أني لست مني، و لكني، أحاولُ أن أغني، حين أبكي,neutral
2773,أيها الاخوان في أية من القران وفي أى حديث شريف تعلمتم ان المبنى المصنوع من الحجر يكون الدفاع عنه بقتل الناس بالرصاص الحي على أى ملة انتم,negative
2774,لو إستمر مرسي في سياسة العناد الفاشلة سيكون الفرق الوحيد بينه وبين المخلوع مبارك أنه لا يحب أن يقضي أجازته في شرم الشيخ، على الأقل حتى الآن,negative
2775,قال الاستاذ علاء عبدالفتاح على الجزيرة بصراحة نحن نعرف ان خالد على لن يكسب الم يكن الافضل ان ندعم مرشحا ثوريا واحدا بدلا من تفتيت الأصوات,neutral
2779,القانون لا يجب ان يترك للتقدير الشخصي لمن ينفذه لايمكن ان نترك للضابط تقدير من هو البلطجي القضاء المدني كفيل بتحقيق العدالة,neutral
2780,الى كل صحفي صمتك مؤسف امام قتل زميل واعتقال اخر واهانة ثالث ومنع رابع من الكتابة دورك قادم,negative
2781,"#زمكان - #مصر | وزير #العدل هيفتتح مجمع محاكم #الرحمانية بكرة وهيضع ""حجر الأساس"" لمحكمة #دمنهور	OBJ",
2782,#تنويه_البرنامج عزيزي المشاهد لو فاكر ابنك مؤدب هيتخدش حياؤه من الألفاظ رجاء مراجعة المتصفح الخاص به بس ياريت,neutral
2784,يكرهك نصفي و نصفي فيك ذاايب #عبدالمجيد,neutral
2794,#يوسف_الحسيني لا تستمعوا لكلام البلتاجيفهو لا يريد الا التشويهخسىء وخسأ قومهسلام! #السادة_المحترمون …,negative
2795,ميغركيش العدد والله انا اكتر انا اللي مش #اخوان وانا اللي مش #عسكر #المكالمه,neutral
2799,طز فيك,negative
2800,2050 بقوللك إيه محمد محمود، مجلس الوزراء، العباسية، الاتحادية وغيرهم وغيرهم انتم لستم أبرياء وخاصمتم الإنسانية والحق من اجل السلطة,negative
2808,النهاردة ومرسي في القفص عرفت ان محافظ سوهاج لسه مسماش اكبر ميدان هناك باسم الشهيد الحسيني ابو ضيف لعل المانع خير يا ب…,neutral
2810,دبلوماسية محشي الشبت مقال اليوم في الشروق ياريت مرسي يبقى يدي للشعب وصفة محشي الشبت نبقى طلعنا منه بحاجة,negative
2811,شعب مصر العظيم في الشوارع ٥٢ يوما متتالية بلا كلل او ملل رفضا للانقلاب العسكر، متى يفهم سيسي ان مصر ان تستسلم للعسكر؟,neutral
2812,الأقباط المعينين في مجلس الشوري خانوا انفسهم ووطنهم وكنيستهم لقد رفضت عرض أن يكون اسمي ضمن المعينين وكنت اتمني أن ي,negative
2819,عَلِّم في المتبلم يصبح ناسي وناقش في الإخواني يفضل ضاني (من فقرات تلك الأمثال في المعصرة),negative
2820,"#حمدين_صباحى:سأفوز بـ""الرئاسة"" وشعبية ""#السيسى""تتراجع بانتظام بسبب ""الأخطاء"" -حد يخبطه على دماغة الحزين ده خليه يفوق	NEG",
2825,"أن تكون علمانيا لا يعني أن تشتم #حسن_البنا وأن تحكم على كتب #سيد_قطب بانها ثرثرة وأن عبارة ""إني اتطبّب بالجوع ""للشيخ #ا…	NEUTRAL",
2826,ما حدث في مصر عكس ما يقوله الكثير هو دليل على الوعي الديموقراطي لدى الشعب مرسي كان جاي بشروط وأول ما هو غيرها الشعب غيره,neutral
2830,فلتذهبوا الى الجحيم #الحرس_الجامعي,negative
2832,نفق العروبة واقف تماماً من الاتجاهين بسبب شباب بيغني و يرقص و اللي في العربيات مش متضايقين,neutral
2834,من أعذب مفردات #الحياة وأجملها هو #اعطاء العذر لغياب البعض ! [[ لان سيد #البشر تحدث عن #التماس العذر ]] ، صلوات الله ع…,positive
2835,الإخوان بغبائهم سيدمرون انفسهم ذاتيا لا تعطيهم قبلة الحياة باتخاذهم مثلا أعلى لممارسة الفاشية و العنصرية لا تفسد انتصارك بتبني أساليبهم,negative
2836,صورة وشهادة الزميلة داليا رضوان عن واقعة الإعتداء عليها من قبل الداخلية بسبب دبوس عليه 6 ابريل #الداخلية_بلطجية,negative
2837,"لعبة حمادة و ميادة #ملل #مترو هع""	OBJ",
2839,نصيحة لأتباع مرسي ، كفوا عن النواح والهجوم على كل مخالف ،، كنتم سببا في تحويله لديكتاتور بتاييدكم الاعمي له ، فلا تزيدوا من ك…,negative
2842,#اذكر_افيهات_الثورة لقينا في خيم المعتصمين عند #الاتحادية #الإتحادية خمرة و مطهرات مهبلية :,neutral
2843,"وين سارح؟ فاقد الإحساس واضح كنت ترسم ما كتبت وكانت عيونك ""مسارح"" كان يا ماكان،فيك الشوق فاضح #سري	NEUTRAL",
2849,البيان ذكر بالنص: · اثق في اخلاق الاخوان برفض هذة التصرفات من بعض افرادهم,positive
2856,علمو ولادكم إن مفيش حاجه إسمها #تحرير_سيناء وإن بطل الحرب والسلام حمار وإن سيناء هترجع ف اللحظه اللى يقرر العرب فيه رجوع #فلس…,negative
2859,أولا: الموضوع مش فيه تفاصيل ثانيا: اللينك لا يعمل ثالثا: التعليق ع الصورة خاص بمقال مختلف تماماً الخلاصة: مفيش فايدة #22,negative
2864,"دعمرو حمزاوي برنامج"" بلدنا بالمصري "" 25مارس 2012	OBJ",
2868,ظابط جيش يهين أهالي مدينة #الشيخ_زويد ويقول والله لنضربكم بالكيماوي زي #بشار الفيديو كارثة وإلي بيعملوه إجرام #سيناء …,negative
2869,4 شائعات الفاشيين وطيور الظلام وأصحاب المعايير المزدوجة من نشطاء وسياسيين وإعلاميين ورجال أعمال وموتورين في الخارج ستظل كاذبة,negative
2872,كل الناس شيفنا حبايب إلا عنيكى وأنا من خوفى لتبعدى عنى بخبى عليكى #عمرو_دياب,neutral
2873,المؤامرة الحقيقية على مصر هي إعادة إنتاج الاستبداد بإجراءات متسارعة، الآن ينقل نائب عام عينه الرئيس مستشارا جليلا تعسفيا لرفضه احتجاز أبرياء,negative
2875,إيه علاقة مرسي بنصر الإسلام ؟ وهو الإسلام مظلوم في مصر؟ …,neutral
2876,رمز الجد والسخرية,neutral
2883,_ع منطق حقير ولا يتبعه سوى الجبناء هذه نفس تقتل عارف يعني ايه؟ يمكن لو أخوك أو أمك كنت تفهم,negative
2884,ماتدافعش عن الكذب وتقولي أنا مش إخوان مرضك ده ليه علاج على فكرة إنك تبطل تعيش في قطيع الجماعة وتشغل مخك شوية,negative
2889,"الجزء الاول من الحلقة الاولى ""عودة الابن الضال""	OBJ",
